member_id,name,age,join_date,status,tier,last_visit
1000,Member 0,21,2023-09-30,Churned,Gold,2024-01-08
1001,Member 1,44,2023-08-24,Churned,Silver,2024-01-29
1002,Member 2,34,2023-12-06,Active,VIP,2024-01-05
1003,Member 3,29,2023-08-16,Churned,Gold,2024-03-26
1004,Member 4,39,2023-01-09,Active,VIP,2024-02-16
1005,Member 5,34,2023-06-15,Active,Silver,2024-02-03
1006,Member 6,27,2023-11-15,Active,Gold,2024-03-05
1007,Member 7,18,2023-08-02,Active,VIP,2024-02-24
1008,Member 8,39,2023-04-27,Churned,Gold,2024-03-30
1009,Member 9,43,2023-12-10,Active,Silver,2024-02-12
1010,Member 10,35,2023-03-13,Churned,VIP,2024-03-14
1011,Member 11,31,2023-03-05,Churned,Silver,2024-01-30
1012,Member 12,64,2023-07-24,Churned,Silver,2024-03-22
1013,Member 13,46,2023-07-28,Churned,Gold,2024-01-17
1014,Member 14,29,2023-03-13,Active,VIP,2024-01-26
1015,Member 15,53,2023-10-04,Churned,Silver,2024-01-08
1016,Member 16,52,2023-10-01,Active,Silver,2024-02-16
1017,Member 17,29,2023-11-16,Churned,VIP,2024-03-16
1018,Member 18,24,2023-12-04,Churned,Silver,2024-03-12
1019,Member 19,46,2023-04-05,Active,Silver,2024-03-29
1020,Member 20,28,2023-06-15,Active,VIP,2024-02-15
1021,Member 21,50,2023-02-01,Active,VIP,2024-03-08
1022,Member 22,23,2023-01-11,Churned,VIP,2024-02-02
1023,Member 23,64,2023-10-28,Churned,VIP,2024-01-01
1024,Member 24,32,2023-08-05,Active,Gold,2024-01-19
1025,Member 25,49,2023-10-16,Active,VIP,2024-01-31
1026,Member 26,28,2023-04-12,Active,Gold,2024-03-20
1027,Member 27,40,2023-09-24,Active,Gold,2024-01-14
1028,Member 28,43,2023-08-02,Churned,Gold,2024-02-22
1029,Member 29,51,2023-06-28,Active,Silver,2024-02-17
1030,Member 30,63,2023-03-29,Active,Gold,2024-03-09
1031,Member 31,51,2023-02-10,Active,Gold,2024-03-30
1032,Member 32,46,2023-03-17,Active,Silver,2024-03-02
1033,Member 33,21,2023-02-15,Churned,Silver,2024-03-06
1034,Member 34,34,2023-06-09,Active,Silver,2024-03-04
1035,Member 35,52,2023-03-21,Churned,VIP,2024-03-10
1036,Member 36,30,2023-11-06,Active,Silver,2024-03-03
1037,Member 37,58,2023-03-27,Active,Silver,2024-03-13
1038,Member 38,56,2023-04-02,Churned,Gold,2024-02-02
1039,Member 39,32,2023-05-28,Active,Silver,2024-02-10
1040,Member 40,46,2023-06-10,Churned,VIP,2024-03-29
1041,Member 41,46,2023-07-21,Churned,Silver,2024-02-17
1042,Member 42,28,2023-08-30,Active,VIP,2024-01-13
1043,Member 43,49,2023-12-19,Churned,Silver,2024-03-13
1044,Member 44,19,2023-01-02,Churned,Silver,2024-03-17
1045,Member 45,64,2023-08-13,Churned,Silver,2024-01-31
1046,Member 46,31,2023-10-16,Churned,Silver,2024-03-15
1047,Member 47,37,2023-08-21,Churned,VIP,2024-03-08
1048,Member 48,39,2023-03-18,Churned,VIP,2024-01-04
1049,Member 49,28,2023-04-26,Churned,Gold,2024-01-19
1050,Member 50,44,2023-06-03,Churned,VIP,2024-03-10
1051,Member 51,20,2023-04-13,Active,Silver,2024-03-22
1052,Member 52,34,2023-07-13,Active,Gold,2024-01-13
1053,Member 53,61,2023-06-15,Churned,Gold,2024-01-23
1054,Member 54,45,2023-12-25,Active,Gold,2024-03-23
1055,Member 55,46,2023-03-31,Churned,Silver,2024-03-15
1056,Member 56,38,2023-06-23,Churned,VIP,2024-01-01
1057,Member 57,64,2023-05-02,Active,Silver,2024-03-28
1058,Member 58,33,2023-05-23,Churned,Gold,2024-02-23
1059,Member 59,54,2023-04-16,Churned,Silver,2024-03-11
1060,Member 60,37,2023-11-01,Churned,Silver,2024-03-29
1061,Member 61,23,2023-12-26,Churned,VIP,2024-03-25
1062,Member 62,36,2023-11-13,Active,VIP,2024-01-15
1063,Member 63,22,2023-05-03,Churned,Gold,2024-03-05
1064,Member 64,20,2023-01-09,Churned,Silver,2024-03-16
1065,Member 65,18,2023-09-19,Churned,Silver,2024-03-11
1066,Member 66,55,2023-03-14,Active,VIP,2024-01-15
1067,Member 67,32,2023-12-25,Churned,Silver,2024-01-21
1068,Member 68,51,2023-08-11,Active,Silver,2024-01-19
1069,Member 69,52,2023-02-10,Active,Silver,2024-02-29
1070,Member 70,42,2023-07-23,Churned,VIP,2024-03-29
1071,Member 71,41,2023-09-21,Churned,Gold,2024-02-02
1072,Member 72,29,2023-11-24,Active,Gold,2024-02-18
1073,Member 73,35,2023-06-27,Churned,Silver,2024-02-04
1074,Member 74,32,2023-12-14,Active,Gold,2024-02-13
1075,Member 75,61,2023-11-14,Active,VIP,2024-03-30
1076,Member 76,33,2023-03-25,Churned,VIP,2024-01-11
1077,Member 77,44,2023-11-14,Churned,Gold,2024-03-12
1078,Member 78,25,2023-04-21,Active,Gold,2024-03-18
1079,Member 79,63,2023-09-08,Active,Silver,2024-03-14
1080,Member 80,42,2023-01-07,Active,Gold,2024-03-06
1081,Member 81,34,2023-03-25,Active,Silver,2024-02-15
1082,Member 82,46,2023-07-27,Churned,Silver,2024-01-09
1083,Member 83,25,2023-11-10,Churned,VIP,2024-01-03
1084,Member 84,32,2023-01-22,Churned,VIP,2024-03-25
1085,Member 85,44,2023-01-03,Churned,VIP,2024-01-26
1086,Member 86,63,2023-05-07,Churned,VIP,2024-03-12
1087,Member 87,24,2023-10-24,Active,Gold,2024-02-17
1088,Member 88,20,2023-07-07,Churned,VIP,2024-03-06
1089,Member 89,46,2023-12-28,Churned,Gold,2024-03-10
1090,Member 90,61,2023-01-14,Churned,VIP,2024-01-28
1091,Member 91,41,2023-01-12,Churned,Gold,2024-01-26
1092,Member 92,20,2023-03-28,Churned,Silver,2024-01-25
1093,Member 93,37,2023-01-12,Active,Gold,2024-01-12
1094,Member 94,63,2023-01-25,Active,Gold,2024-01-05
1095,Member 95,32,2023-10-28,Active,VIP,2024-02-17
1096,Member 96,42,2023-08-31,Churned,Gold,2024-02-06
1097,Member 97,47,2023-05-02,Active,Silver,2024-03-19
1098,Member 98,31,2023-05-27,Active,Silver,2024-02-13
1099,Member 99,24,2023-02-24,Churned,VIP,2024-01-15
